coef	Shift-Time (hh:mm:ss)	Date	Shift-Time (s)	filetype
0.9999068785100628	+0:00:14	20201122	14	sec
0.9999908052142328	+0:00:21	20201123	21	sec
0.9999948623703809	+0:00:27	20201124	27	sec
0.9999339426950745	+0:00:30	20201125	34	sec
0.9999816817354332	+0:00:40	20201126	40	sec
0.9999490963943912	+0:00:44	20201127	44	sec
0.9999470629023566	+0:00:50	20201128	50	sec
0.9998766433207903	+0:00:54	20201129	56	sec
0.9997855300865499	+0:01:03	20201130	63	sec
0.9999455954328859	+0:00:12	20201201	70	sec
0.9999480747147588	+0:00:48	20201202	76	sec
0.9999657181112354	+0:01:10	20201203	82	sec
0.999969427820407	+0:00:35	20201204	90	sec
0.9999526558527491	+0:01:35	20201205	95	sec
0.9998890599998961	+0:01:37	20201206	97	sec
0.9999260514519865	+0:01:41	20201207	101	sec
0.9999721324727713	+0:01:49	20201208	109	sec
0.9998943311668209	+0:02:03	20201209	123	sec
0.9999898259055169	+0:02:08	20201210	128	sec
0.9995222850021832	+0:02:09	20201211	134	sec
0.9998682278607832	+0:01:59	20201212	139	sec
0.9999196958804061	+0:02:12	20201213	144	sec
0.9999240476575342	+0:02:29	20201214	150	sec
0.9997412646726485	+0:02:28	20201215	156	sec
0.9999593307717479	+0:02:44	20201216	164	sec
0.9999638501003447	+0:02:42	20201217	170	sec
0.9999128805270381	+0:02:38	20201218	158	sec
0.9999613840829484	+0:03:02	20201219	182	sec
0.9999070120068007	+0:02:52	20201220	172	sec
0.9998706870240007	+0:03:14	20201221	194	sec
0.9999009838140694	+0:03:23	20201222	203	sec
0.9998080110262411	+0:03:27	20201223	207	sec
0.9998899923408741	+0:03:36	20201224	216	sec
0.999948178778461	+0:03:44	20201225	224	sec
0.9999623535479716	+0:03:50	20201226	230	sec
0.9998413026597898	+0:03:55	20201227	235	sec
0.999681885059953	+0:04:00	20201228	240	sec
0.9996838327944827	+0:04:06	20201229	246	sec
0.9992548678403516	+0:04:14	20201230	254	sec
0.999944515845285	+0:04:22	20201231	262	sec
0.9999842383211082	-4:52:10	20210123	-17530	sec
0.9989662940431404	-4:52:00	20210124	-17520	sec
0.9999895810706205	-4:51:55	20210125	-17515	sec
0.999919444372691	-4:51:48	20210126	-17508	sec
0.999969236124317	-4:51:42	20210127	-17502	sec
0.9999749785071084	-4:51:39	20210128	-17499	sec
0.9999966472206724	-4:51:35	20210129	-17495	sec
0.9999985711610903	-4:51:27	20210130	-17487	sec
0.9999873320417091	-4:51:43	20210131	-17503	sec
0.9999915544026875	-4:51:13	20210201	-17473	sec
0.9999771604172134	-4:45:41	20210325	-17141	sec
0.9999957465226272	-4:45:36	20210326	-17136	sec
0.9999985519670972	-4:45:32	20210327	-17132	sec
0.9999951070784237	-4:45:24	20210328	-17124	sec
0.9999983688588587	-4:45:17	20210329	-17117	sec
0.9999957026340172	-4:45:12	20210330	-17112	sec
0.9999788443640839	-4:45:03	20210331	-17103	sec
0.9999989180798213	-4:44:57	20210401	-17097	sec
0.9999980020884812	-4:44:51	20210402	-17091	sec
0.9999924707872248	-4:44:47	20210403	-17087	sec
0.9999960532930077	-4:44:38	20210404	-17078	sec
0.9999678848225196	-4:44:32	20210405	-17072	sec
0.9999596674346055	-4:44:26	20210406	-17066	sec
0.9999626894893207	-4:44:19	20210407	-17059	sec
0.9999990534839439	-4:44:13	20210408	-17053	sec
0.9999966620600566	-4:44:07	20210409	-17047	sec
0.9999888949706954	-4:44:01	20210410	-17041	sec
0.9999966425390906	-4:43:51	20210411	-17031	sec
0.9994628623238148	-4:43:48	20210412	-17028	sec
0.9999873162217786	-4:43:41	20210413	-17021	sec
0.9999952215272013	-4:43:34	20210414	-17014	sec
0.9993070841471812	-4:43:29	20210415	-17009	sec
0.9999930325293592	-4:43:22	20210416	-17002	sec
0.999995586784987	-4:43:15	20210417	-16995	sec
0.9820120593184178	-4:43:09	20210418	-16989	sec
0.9999927560658529	-4:43:03	20210419	-16983	sec
0.9999964776162554	-4:42:57	20210420	-16977	sec
0.9999167026123265	-4:42:51	20210421	-16971	sec
0.999994397715334	-4:42:45	20210422	-16965	sec
0.999995341341672	-4:42:38	20210423	-16958	sec
0.9999757131417101	-4:42:32	20210424	-16952	sec
0.9999906639379876	-4:42:27	20210425	-16947	sec
0.7347223789806064	-4:42:21	20210426	-15200	sec
0.9999833980254378	-4:42:15	20210427	-16935	sec
0.999991666762665	-4:42:09	20210428	-16929	sec
0.9999644772733304	-4:42:02	20210429	-16922	sec
-0.1320980170534778	-4:41:54	20210430	-15000	sec
0.999994558822339	-4:41:47	20210501	-16907	sec
0.9999968592076346	-4:41:40	20210502	-16900	sec
0.9999954659409377	-4:41:34	20210503	-16894	sec
0.9999852500495569	-4:41:27	20210504	-16887	sec
0.9999860197480501	-4:41:21	20210505	-16881	sec
0.9999962707508446	-4:41:15	20210506	-16875	sec
0.9999612871721275	-4:41:19	20210507	-16879	sec
0.09830885411612457	-4:41:12	20210508	-15000	sec
0.9701700223143894	-4:41:05	20210509	-16865	sec
0.9958423747870507	-4:40:48	20210510	-16848	sec
0.9994758788738473	-4:40:28	20210513	-16828	sec
0.9969010537955934	-4:40:25	20210514	-16825	sec
0.993247951252282	-4:40:14	20210515	-16814	sec
0.9938271667431522	-4:40:13	20210516	-16813	sec
0.9945252165861272	-4:40:03	20210517	-16803	sec
0.9975101137825634	-4:39:59	20210518	-16799	sec
0.9879930765232672	-4:39:46	20210520	-16786	sec
0.9999799533067797	-10:11:51	20210617	-36711	sec
0.9999403842849269	-10:11:51	20210618	-36711	sec
0.9998998228268556	-10:11:51	20210619	-36711	sec
0.9999796439270694	-10:11:53	20210620	-36713	sec
0.8627465468508236	-9:57:27	20210621	-35847	sec
0.9999936212264338	-10:11:52	20210622	-36712	sec
0.9999843032510788	-10:11:52	20210623	-36712	sec
0.999989998279546	-10:11:54	20210624	-36714	sec
0.9999717045241805	-10:11:53	20210625	-36713	sec
0.999960830889187	-10:11:54	20210626	-36714	sec
0.50141459747975	-9:59:44	20210627	-35984	sec
0.9998531088231231	-10:11:57	20210628	-36717	sec
0.9999933129804829	-10:11:50	20210629	-36710	sec
0.9999620108181634	-10:11:54	20210630	-36714	sec
0.9999811889016489	-10:11:51	20210701	-36711	sec
0.999841387567482	-10:11:51	20210702	-36711	sec
0.9999938012757503	-10:11:51	20210703	-36711	sec
0.9999625537469669	-10:11:55	20210704	-36715	sec
0.9998656596682575	-10:11:50	20210705	-36710	sec
0.9999905449062471	-10:11:51	20210706	-36711	sec
0.9999945140915312	-10:11:51	20210707	-36711	sec
