coef	Shift-Time	Date	Time-seconds
1.0	4:44:57	20210401	17097
1.0	4:44:51	20210402	17091
0.99999	4:44:47	20210403	17087
1.0	4:44:38	20210404	17078
0.99997	4:44:32	20210405	17072
0.99996	4:44:26	20210406	17066
0.99996	4:44:19	20210407	17059
1.0	4:44:13	20210408	17053
1.0	4:44:07	20210409	17047
0.99999	4:44:01	20210410	17041
1.0	4:43:51	20210411	17031
0.99946	4:43:48	20210412	17028
0.99999	4:43:41	20210413	17021
1.0	4:43:34	20210414	17014
0.99931	4:43:29	20210415	17009
0.99999	4:43:22	20210416	17002
1.0	4:43:15	20210417	16995
0.98201	4:43:09	20210418	16989
0.99999	4:43:03	20210419	16983
1.0	4:42:57	20210420	16977
0.99992	4:42:51	20210421	16971
0.99999	4:42:45	20210422	16965
1.0	4:42:38	20210423	16958
0.99998	4:42:32	20210424	16952
0.99999	4:42:27	20210425	16947
0.99999	4:42:21	20210426	16941
0.99998	4:42:15	20210427	16935
0.99999	4:42:09	20210428	16929
0.99996	4:42:02	20210429	16922
0.9915	4:41:55	20210430	16915
0.99999	4:41:47	20210501	16907
1.0	4:41:40	20210502	16900
1.0	4:41:34	20210503	16894
0.99999	4:41:27	20210504	16887
0.99999	4:41:21	20210505	16881
1.0	4:41:15	20210506	16875
0.99996	4:41:19	20210507	16879
0.99947	4:41:06	20210508	16866
0.97017	4:41:05	20210509	16865
0.99584	4:40:48	20210510	16848
0.99194	4:40:39	20210512	16839
0.99971	4:40:28	20210513	16828
0.9969	4:40:25	20210514	16825
0.99325	4:40:14	20210515	16814
