Date p2_mean p2_median p2_std jd
2019-11-09 -28.14 -28.14 0.07 7252.0
2019-11-10 -28.1 -28.09 0.07 7253.0
2019-11-12 -28.01 -28.02 0.08 7255.0
2019-11-13 -28.06 -28.06 0.05 7256.0
2019-11-14 -27.95 -27.95 0.07 7257.0
2019-11-15 -28.06 -28.06 0.07 7258.0
2019-11-16 -28.06 -28.08 0.13 7259.0
2019-11-17 -28.15 -28.15 0.07 7260.0
2019-11-18 -28.17 -28.17 0.08 7261.0
2019-11-19 -28.1 -28.1 0.05 7262.0
2019-11-20 -28.16 -28.16 0.06 7263.0
2019-11-21 -28.12 -28.12 0.15 7264.0
2019-11-22 -28.1 -28.1 0.09 7265.0
2019-11-23 -28.11 -28.11 0.06 7266.0
2019-11-27 -28.11 -28.11 0.06 7270.0
2019-11-28 -28.13 -28.13 0.07 7271.0
2019-11-29 -28.0 -28.01 0.06 7272.0
2019-11-30 -28.02 -28.02 0.09 7273.0
2019-12-02 -27.98 -27.98 0.09 7275.0
2019-12-03 -28.09 -28.09 0.06 7276.0
2019-12-05 -28.12 -28.13 0.07 7278.0
2019-12-06 -27.86 -27.86 0.07 7279.0
2019-12-07 -28.12 -28.12 0.07 7280.0
2019-12-08 -27.99 -28.0 0.09 7281.0
2019-12-09 -28.1 -28.1 0.06 7282.0
2019-12-10 -28.12 -28.12 0.06 7283.0
2019-12-11 -27.91 -27.91 0.05 7284.0
2019-12-12 -28.06 -28.06 0.05 7285.0
2019-12-13 -27.96 -27.96 0.04 7286.0
2019-12-15 -27.98 -27.98 0.05 7288.0
2019-12-16 -28.06 -28.07 0.07 7289.0
2019-12-17 -27.9 -27.9 0.04 7290.0
2019-12-18 -27.9 -27.89 0.19 7291.0
2019-12-19 -28.06 -28.06 0.06 7292.0
2019-12-24 -28.29 -28.09 18.26 7297.0
2019-12-25 -27.96 -27.91 0.23 7298.0
2019-12-26 -27.51 -27.62 0.56 7299.0
2019-12-27 -27.89 -27.88 0.54 7300.0
2019-12-28 -27.9 -27.9 0.06 7301.0
2019-12-29 -27.9 -27.9 0.05 7302.0
2019-12-30 -27.88 -27.93 1.31 7303.0
2020-01-01 -27.76 -27.76 0.22 7305.0
2020-01-02 -27.72 -27.72 0.07 7306.0
2020-01-17 -27.79 -27.79 0.1 7321.0
2020-01-18 -27.75 -27.75 0.07 7322.0
2020-01-21 -27.68 -27.68 0.1 7325.0
2020-01-22 -27.73 -27.73 0.06 7326.0
2020-01-23 -27.77 -27.77 0.05 7327.0
2020-01-25 -27.88 -27.89 0.12 7329.0
2020-01-31 -27.71 -27.71 0.08 7335.0
2020-02-02 -27.56 -27.66 0.24 7337.0
2020-02-06 -27.68 -27.68 0.13 7341.0
2020-02-10 -27.88 -27.88 0.07 7345.0
2020-02-16 -27.64 -27.64 0.06 7351.0
2020-03-05 -27.66 -27.66 0.08 7369.0
2020-04-10 -27.47 -27.48 0.35 7405.0
2020-04-11 -27.51 -27.51 0.09 7406.0
2020-04-12 -27.53 -27.53 0.1 7407.0
2020-04-13 -27.49 -27.49 0.07 7408.0
2020-04-14 -27.58 -27.57 0.64 7409.0
2020-04-15 -27.52 -27.52 0.08 7410.0
2020-04-16 -27.51 -27.51 0.04 7411.0
2020-04-18 -27.76 -27.76 0.07 7413.0
2020-04-20 -27.74 -27.73 0.13 7415.0
2020-04-21 -27.7 -27.7 0.06 7416.0
2020-04-22 -27.68 -27.68 0.08 7417.0
2020-04-24 -27.45 -27.45 0.08 7419.0
2020-04-25 -27.63 -27.63 0.05 7420.0
2020-04-26 -27.67 -27.66 0.05 7421.0
2020-04-28 -27.44 -27.44 0.07 7423.0
2020-04-29 -27.5 -27.5 0.09 7424.0
2020-04-30 -27.48 -27.48 0.07 7425.0
2020-05-01 -27.49 -27.5 0.06 7426.0
2020-05-02 -27.7 -27.7 0.5 7427.0
2020-05-04 -27.71 -27.71 0.07 7429.0
2020-05-06 -27.67 -27.68 0.43 7431.0
2020-05-08 -27.45 -27.45 0.08 7433.0
2020-05-10 -27.48 -27.47 0.05 7435.0
2020-05-11 -27.48 -27.48 0.05 7436.0
2020-05-12 -27.45 -27.45 0.06 7437.0
2020-05-13 -27.47 -27.47 0.05 7438.0
2020-05-14 -27.62 -27.62 0.04 7439.0
2020-05-15 -27.66 -27.66 0.06 7440.0
2020-05-16 -27.7 -27.7 0.07 7441.0
2020-05-17 -27.63 -27.63 0.1 7442.0
2020-05-18 -27.63 -27.63 0.12 7443.0
2020-05-19 -27.58 -27.58 0.06 7444.0
2020-05-22 -27.41 -27.41 0.06 7447.0
2020-05-23 -27.42 -27.42 0.07 7448.0
2020-05-24 -27.55 -27.55 0.08 7449.0
2020-05-26 -27.5 -27.5 0.04 7451.0
2020-05-27 -27.38 -27.38 0.05 7452.0
2020-05-28 -27.4 -27.4 0.05 7453.0
2020-05-30 -27.62 -27.62 0.09 7455.0
2020-06-01 -27.56 -27.56 0.05 7457.0
2020-06-02 -27.57 -27.57 0.05 7458.0
2020-06-04 -27.54 -27.54 0.06 7460.0
2020-06-05 -27.36 -27.36 0.09 7461.0
2020-06-06 -27.51 -27.52 0.07 7462.0
2020-06-08 -27.47 -27.47 0.06 7464.0
2020-06-12 -27.55 -27.55 0.06 7468.0
2020-06-14 -27.55 -27.55 0.07 7470.0
2020-06-15 -27.17 -27.35 1.97 7471.0
2020-06-17 -27.57 -27.57 0.06 7473.0
2020-06-18 -27.56 -27.56 0.07 7474.0
2020-06-19 -27.41 -27.41 0.06 7475.0
2020-06-20 -27.39 -27.39 0.05 7476.0
2020-06-21 -27.42 -27.42 0.05 7477.0
2020-06-27 -27.63 -27.63 0.07 7483.0
