Date pteste_mean pteste_median pteste_std jd
2022-01-01 -23.34 -23.34 0.06 8036.0
2022-01-02 -23.35 -23.34 0.06 8037.0
2022-01-03 -23.31 -23.31 0.06 8038.0
2022-01-04 -23.31 -23.3 0.05 8039.0
2022-01-05 -23.63 -23.62 0.06 8040.0
2022-01-06 -23.6 -23.6 0.05 8041.0
2022-01-08 -23.68 -23.68 0.06 8043.0
2022-01-09 -23.36 -23.37 0.08 8044.0
2022-01-10 -23.59 -23.59 0.06 8045.0
2022-01-11 -23.32 -23.33 0.06 8046.0
2022-01-12 -22.82 -22.82 0.08 8047.0
2022-01-13 -22.99 -22.99 0.09 8048.0
2022-01-14 -23.44 -23.43 0.07 8049.0
2022-01-15 -23.49 -23.49 0.06 8050.0
2022-01-16 -23.49 -23.49 0.07 8051.0
2022-01-17 -23.52 -23.52 0.06 8052.0
2022-01-18 -23.48 -23.48 0.07 8053.0
2022-01-19 -23.62 -23.62 0.07 8054.0
2022-01-20 -23.12 -23.12 0.08 8055.0
2022-01-21 -23.21 -23.22 0.08 8056.0
2022-01-22 -23.32 -23.32 0.07 8057.0
2022-01-23 -23.04 -23.05 0.13 8058.0
2022-01-24 -23.66 -23.66 0.06 8059.0
2022-01-25 -23.11 -23.11 0.1 8060.0
2022-01-26 -23.36 -23.36 0.08 8061.0
2022-01-27 -23.17 -23.17 0.1 8062.0
2022-01-28 -23.1 -23.09 0.07 8063.0
2022-01-29 -23.07 -23.07 0.07 8064.0
2022-01-30 -23.66 -23.66 0.08 8065.0
2022-01-31 -23.7 -23.71 0.06 8066.0
2022-02-01 -23.67 -23.67 0.05 8067.0
2022-02-02 -23.7 -23.7 0.06 8068.0
2022-02-03 -23.52 -23.53 0.14 8069.0
2022-02-04 -23.3 -23.31 0.07 8070.0
2022-02-05 -23.74 -23.74 0.06 8071.0
2022-02-06 -23.51 -23.52 0.07 8072.0
2022-02-07 -22.97 -22.96 0.09 8073.0
2022-02-08 -23.61 -23.61 0.06 8074.0
2022-02-09 -23.63 -23.62 0.06 8075.0
2022-02-10 -23.48 -23.47 0.06 8076.0
2022-02-11 -23.66 -23.66 0.07 8077.0
2022-02-12 -35.81 -36.36 5.37 8078.0
2022-02-13 -41.0 -41.36 9.39 8079.0
2022-02-14 -23.67 -23.67 0.06 8080.0
2022-02-15 -23.56 -23.56 0.07 8081.0
2022-02-16 -23.57 -23.56 0.1 8082.0
2022-02-17 -23.61 -23.63 0.23 8083.0
2022-02-18 -23.36 -23.37 0.07 8084.0
2022-02-19 -23.07 -23.08 0.09 8085.0
2022-02-20 -23.15 -23.15 0.08 8086.0
2022-02-21 -23.59 -23.59 0.05 8087.0
2022-02-22 -15.57 -14.93 4.86 8088.0
2022-02-23 -23.61 -23.62 0.06 8089.0
2022-02-24 -23.53 -23.53 0.06 8090.0
2022-02-25 -23.57 -23.57 0.06 8091.0
2022-02-26 -23.02 -23.01 0.07 8092.0
2022-02-27 -23.54 -23.54 0.07 8093.0 
2022-03-01 -23.55 -23.54 0.07 8095.0
2022-03-02 -23.54 -23.54 0.06 8096.0
2022-03-03 -23.57 -23.57 0.07 8097.0
2022-03-04 -23.49 -23.49 0.07 8098.0
2022-03-05 -23.53 -23.58 0.23 8099.0
2022-03-06 -23.69 -23.68 0.05 8100.0
2022-03-07 -23.61 -23.6 0.06 8101.0
2022-03-08 -23.56 -23.55 0.07 8102.0
2022-03-09 -23.65 -23.65 0.06 8103.0
2022-03-10 -23.65 -23.65 0.05 8104.0
2022-03-11 -23.13 -23.13 0.08 8105.0
2022-03-12 -23.26 -23.26 0.07 8106.0
2022-03-13 -22.99 -22.99 0.08 8107.0
2022-03-14 -23.11 -23.11 0.06 8108.0
2022-03-15 -23.72 -23.72 0.06 8109.0
2022-03-16 -23.03 -23.03 0.07 8110.0
2022-03-17 -23.48 -23.48 0.07 8111.0
2022-03-18 -23.41 -23.41 0.07 8112.0
2022-03-19 -23.58 -23.58 0.06 8113.0
2022-03-20 -23.51 -23.51 0.06 8114.0
2022-03-21 -23.51 -23.51 0.07 8115.0
2022-03-22 -23.37 -23.37 0.08 8116.0
2022-03-23 -23.53 -23.53 0.06 8117.0
2022-03-24 -23.4 -23.4 0.08 8118.0
2022-03-25 -23.58 -23.58 0.06 8119.0
2022-03-26 -23.3 -23.3 0.07 8120.0
2022-03-27 -23.18 -23.19 0.08 8121.0
2022-03-28 -23.11 -23.11 0.07 8122.0
2022-03-29 -23.5 -23.5 0.07 8123.0
2022-03-30 -22.92 -22.92 0.07 8124.0
2022-03-31 -23.09 -23.1 0.08 8125.0
2022-04-01 -23.61 -23.61 0.06 8126.0
2022-04-02 -23.25 -23.25 0.07 8127.0
2022-04-03 -23.26 -23.26 0.08 8128.0
2022-04-04 -23.46 -23.46 0.07 8129.0
2022-04-05 -23.58 -23.58 0.06 8130.0
2022-04-06 -23.49 -23.48 0.08 8131.0
2022-04-07 -23.54 -23.55 0.07 8132.0
2022-04-08 -23.59 -23.59 0.06 8133.0
2022-04-09 -23.01 -23.01 0.07 8134.0
2022-04-10 -22.77 -22.77 0.07 8135.0
2022-04-11 -22.83 -22.82 0.08 8136.0
2022-04-12 -23.0 -23.0 0.08 8137.0
2022-04-13 -22.94 -22.94 0.07 8138.0
2022-04-14 -22.71 -22.72 0.07 8139.0
2022-04-15 -22.85 -22.86 0.07 8140.0
2022-04-16 -23.06 -23.06 0.08 8141.0
2022-04-17 -23.21 -23.21 0.06 8142.0
2022-04-18 -23.21 -23.21 0.06 8143.0
2022-04-19 -22.96 -22.97 0.07 8144.0
2022-04-20 -23.14 -23.14 0.07 8145.0
2022-04-21 -23.03 -23.03 0.08 8146.0
2022-04-22 -23.0 -22.99 0.07 8147.0
2022-04-23 -23.24 -23.24 0.06 8148.0
2022-04-25 -19.48 -19.48 0.05 8150.0
2022-04-26 -19.47 -19.47 0.05 8151.0
2022-04-27 -19.51 -19.52 0.05 8152.0
2022-04-28 -19.5 -19.5 0.04 8153.0
2022-04-29 -22.67 -22.67 0.08 8154.0
2022-04-30 -23.28 -23.28 0.06 8155.0
2022-05-01 -23.32 -23.32 0.06 8156.0
2022-05-02 -23.31 -23.31 0.06 8157.0
2022-05-03 -23.36 -23.36 0.06 8158.0
2022-05-04 -23.18 -23.18 0.05 8159.0
2022-05-05 -23.3 -23.3 0.06 8160.0 
2022-05-10 -22.78 -22.78 0.07 8165.0
2022-05-11 -22.86 -22.86 0.07 8166.0
2022-05-12 -23.06 -23.06 0.07 8167.0
2022-05-13 -22.94 -22.94 0.08 8168.0
2022-05-14 -23.26 -23.26 0.07 8169.0
2022-05-15 -23.25 -23.25 0.06 8170.0
2022-05-16 -23.19 -23.19 0.06 8171.0
2022-05-17 -23.23 -23.23 0.06 8172.0
2022-05-18 -23.24 -23.24 0.06 8173.0
2022-05-19 -22.7 -22.7 0.08 8174.0
2022-05-20 -23.26 -23.26 0.06 8175.0
2022-05-21 -22.99 -22.99 0.09 8176.0
2022-05-22 -23.18 -23.17 0.07 8177.0
2022-05-23 -23.18 -23.18 0.05 8178.0
2022-05-24 -23.3 -23.3 0.06 8179.0
2022-05-25 -23.22 -23.22 0.07 8180.0
2022-05-26 -23.11 -23.11 0.07 8181.0
2022-05-27 -23.2 -23.2 0.07 8182.0
2022-05-28 -23.21 -23.21 0.06 8183.0
2022-05-29 -22.68 -22.68 0.08 8184.0
2022-05-30 -23.2 -23.2 0.07 8185.0
2022-05-31 -22.6 -22.6 0.07 8186.0
2022-06-01 -23.25 -23.25 0.06 8187.0
2022-06-02 -23.13 -23.13 0.06 8188.0
2022-06-03 -23.28 -23.28 0.06 8189.0
2022-06-04 -23.04 -23.04 0.06 8190.0
2022-06-05 -23.24 -23.25 0.06 8191.0
2022-06-06 -23.19 -23.2 0.06 8192.0
2022-06-07 -23.15 -23.15 0.07 8193.0
2022-06-08 -23.15 -23.14 0.07 8194.0
2022-06-09 -23.17 -23.17 0.06 8195.0
2022-06-10 -23.13 -23.13 0.06 8196.0
2022-06-11 -23.15 -23.15 0.06 8197.0
2022-06-12 -22.82 -22.81 0.1 8198.0
2022-06-13 -19.55 -19.55 0.05 8199.0
2022-06-14 -23.23 -23.24 0.06 8200.0
2022-06-15 -22.84 -22.85 0.08 8201.0
2022-06-16 -23.09 -23.09 0.08 8202.0
2022-06-17 -23.21 -23.21 0.07 8203.0
2022-06-18 -23.19 -23.19 0.07 8204.0
2022-06-19 -23.14 -23.15 0.07 8205.0
2022-06-20 -23.09 -23.09 0.07 8206.0
2022-06-21 -22.93 -22.93 0.09 8207.0
2022-06-22 -23.2 -23.2 0.06 8208.0
2022-06-23 -23.05 -23.05 0.07 8209.0
2022-06-24 -23.12 -23.12 0.08 8210.0
2022-06-25 -22.65 -22.65 0.08 8211.0
