Date pex1_mean pex1_median pex1_std jd
2022-01-11 -107.0 -106.97 0.23 8046.0
2022-01-14 -107.27 -107.25 0.3 8049.0
2022-01-19 -106.82 -106.82 0.19 8054.0
2022-01-21 -106.96 -107.0 0.22 8056.0
2022-01-25 -106.9 -106.91 0.18 8060.0
2022-01-28 -106.91 -106.91 0.25 8063.0
2022-02-01 -106.84 -106.84 0.17 8067.0
2022-02-04 -107.14 -107.12 0.21 8070.0
2022-02-15 -106.88 -106.94 0.34 8081.0
2022-02-22 -106.89 -106.91 0.28 8088.0
2022-02-25 -106.75 -106.77 0.23 8091.0
2022-03-04 -106.82 -106.81 0.17 8098.0
2022-03-09 -106.98 -106.97 0.22 8103.0
2022-03-15 -107.0 -107.02 0.19 8109.0
2022-03-18 -106.78 -106.79 0.23 8112.0
2022-03-22 -106.83 -106.82 0.19 8116.0
2022-03-25 -107.04 -107.07 0.16 8119.0
2022-03-29 -107.09 -107.08 0.22 8123.0
2022-04-01 -106.87 -106.83 0.29 8126.0
2022-04-05 -107.56 -107.08 2.83 8130.0
2022-04-08 -106.92 -106.92 0.17 8133.0
2022-04-12 -107.0 -107.01 0.22 8137.0
2022-04-19 -107.07 -107.08 0.19 8144.0
2022-04-26 -107.23 -107.23 0.18 8151.0
2022-04-29 -107.1 -107.14 0.23 8154.0
2022-05-10 -107.12 -107.16 0.35 8165.0
2022-05-13 -107.19 -107.22 0.22 8168.0
2022-05-19 -106.88 -106.87 0.2 8174.0
2022-05-27 -106.87 -106.88 0.21 8182.0
2022-06-03 -106.98 -106.93 0.23 8189.0
2022-06-07 -106.85 -106.84 0.19 8193.0
2022-06-15 -106.9 -106.91 0.19 8201.0
2022-06-21 -107.16 -107.14 0.25 8207.0
2022-06-28 -106.97 -106.99 0.25 8214.0
2022-07-01 -107.07 -107.05 0.16 8217.0
2022-07-04 -107.01 -107.03 0.21 8220.0
2022-07-05 -106.98 -106.98 0.21 8221.0
2022-07-06 -107.08 -107.06 0.44 8222.0
2022-07-08 -106.98 -106.99 0.2 8224.0
2022-07-12 -107.11 -107.11 0.23 8228.0
2022-07-14 -107.43 -107.43 0.16 8230.0
2022-07-15 -107.23 -107.22 0.16 8231.0
2022-07-18 -107.17 -107.16 0.18 8234.0
2022-07-19 -107.33 -107.35 0.2 8235.0
2022-08-02 -107.1 -107.16 0.21 8249.0
2022-08-05 -107.17 -107.16 0.2 8252.0
2022-08-09 -107.06 -107.04 0.17 8256.0
2022-08-12 -107.09 -107.12 0.22 8259.0
2022-08-16 -106.75 -106.73 0.19 8263.0
2022-08-23 -106.54 -106.56 0.24 8270.0
2022-08-26 -106.7 -106.71 0.16 8273.0
2022-09-06 -107.13 -107.09 0.21 8284.0
