Date p1_mean p1_median p1_std jd
2020-01-03 -325.22 -325.22 0.16 7307.0
2020-01-07 -325.55 -325.54 0.21 7311.0 
2020-01-21 -325.47 -325.47 0.19 7325.0
2020-01-22 -324.56 -324.57 0.19 7326.0
2020-01-24 -325.09 -325.1 0.16 7328.0
2020-01-28 -325.4 -325.39 0.21 7332.0
2020-01-29 -325.01 -325.02 0.19 7333.0
2020-01-31 -324.76 -324.77 0.2 7335.0
2020-02-04 -325.46 -325.44 0.25 7339.0
2020-02-07 -323.47 -323.47 0.19 7342.0  
2020-02-18 -324.01 -323.92 0.5 7353.0
2020-02-21 -324.3 -324.3 0.21 7356.0
2020-02-28 -324.81 -324.81 0.19 7363.0
2020-03-02 -324.95 -324.94 0.18 7366.0
2020-03-03 -324.21 -324.21 0.22 7367.0
2020-03-04 -324.71 -324.71 0.19 7368.0
2020-03-10 -324.11 -324.12 0.23 7374.0
2020-03-13 -324.09 -324.09 0.18 7377.0
2020-03-17 -324.26 -324.26 0.17 7381.0
2020-03-20 -325.26 -325.26 0.17 7384.0
2020-03-25 -323.97 -323.96 0.18 7389.0
2020-04-01 -323.69 -323.69 0.18 7396.0
2020-04-15 -323.74 -323.74 0.17 7410.0
2020-04-20 -322.42 -322.41 0.15 7415.0
2020-04-21 -322.66 -322.68 0.27 7416.0
2020-04-22 -322.94 -322.94 0.17 7417.0
2020-04-29 -323.7 -323.7 0.22 7424.0
2020-05-06 -322.83 -322.82 0.21 7431.0
2020-05-13 -323.98 -323.99 0.19 7438.0
2020-05-20 -323.61 -323.62 0.18 7445.0
2020-05-27 -323.67 -323.64 0.22 7452.0
2020-06-03 -324.36 -324.35 0.17 7459.0
2020-06-10 -323.84 -323.94 0.42 7466.0
2020-06-17 -324.57 -324.57 0.19 7473.0
2020-06-23 -323.6 -323.59 0.22 7479.0
2020-06-24 -324.14 -324.17 0.41 7480.0
2020-06-26 -323.86 -323.86 0.18 7482.0
2020-06-30 -324.14 -324.15 0.22 7486.0
2020-07-03 -323.74 -323.72 0.22 7489.0
2020-07-07 -323.14 -323.15 0.19 7493.0
2020-07-10 -323.36 -323.36 0.19 7496.0
2020-07-15 -323.83 -323.83 0.17 7501.0
2020-07-21 -323.54 -323.54 0.19 7507.0
2020-07-24 -323.87 -323.86 0.24 7510.0
2020-07-28 -323.46 -323.46 0.17 7514.0
2020-07-31 -323.9 -323.9 0.18 7517.0
2020-08-04 -323.2 -323.2 0.18 7521.0
2020-08-11 -322.99 -323.0 0.17 7528.0
2020-08-19 -322.92 -322.92 0.19 7536.0
2020-08-25 -323.59 -323.59 0.22 7542.0
2020-08-28 -322.52 -322.54 0.25 7545.0
2020-09-04 -322.48 -322.49 0.18 7552.0
2020-09-09 -322.84 -322.85 0.21 7557.0
2020-09-11 -322.46 -322.46 0.2 7559.0
2020-09-14 -322.72 -322.71 0.15 7562.0
2020-09-15 -323.48 -323.54 0.32 7563.0
2020-09-18 -323.55 -323.5 0.34 7566.0
2020-09-23 -322.01 -321.97 0.83 7571.0
2020-09-30 -322.9 -322.9 0.2 7578.0
2020-10-07 -324.2 -324.2 0.3 7585.0
2020-10-14 -322.24 -322.22 0.22 7592.0
2020-10-20 -322.62 -322.6 0.21 7598.0
2020-10-27 -322.91 -322.9 0.24 7605.0
2020-11-04 -323.71 -323.73 0.23 7613.0
2020-11-06 -323.5 -323.51 0.18 7615.0
2020-11-10 -323.84 -323.84 0.18 7619.0
2020-11-13 -324.29 -324.28 0.25 7622.0
2020-11-17 -324.26 -324.27 0.22 7626.0
2020-11-24 -322.02 -322.02 0.22 7633.0
2020-11-27 -323.14 -323.13 0.21 7636.0
2020-12-01 -323.09 -323.08 0.29 7640.0
2020-12-04 -324.31 -324.35 0.3 7643.0
2020-12-09 -323.56 -323.56 0.2 7648.0
2020-12-15 -323.48 -323.49 0.19 7654.0
2020-12-17 -322.75 -322.74 0.22 7656.0
2020-12-22 -322.38 -322.38 0.17 7661.0
2020-12-29 -321.69 -321.72 0.41 7668.0
2021-01-06 -321.15 -321.12 0.38 7676.0
2021-01-08 -320.19 -320.2 0.18 7678.0
2021-01-12 -321.69 -321.7 0.18 7682.0
2021-01-15 -321.08 -321.07 0.18 7685.0
2021-01-19 -321.26 -321.25 0.19 7689.0
2021-01-26 -319.78 -319.78 0.18 7696.0
2021-01-28 -320.03 -320.02 0.05 7698.0
2021-01-29 -320.15 -320.15 0.22 7699.0
2021-02-02 -319.7 -319.67 0.23 7703.0
2021-02-05 -319.32 -319.33 0.2 7706.0
2021-02-09 -320.08 -320.09 0.16 7710.0
2021-02-12 -320.29 -320.3 0.17 7713.0
2021-02-17 -319.58 -319.59 0.19 7718.0
2021-02-23 -317.81 -317.8 0.23 7724.0
2021-03-02 -319.63 -319.63 0.23 7731.0
2021-03-16 -319.35 -319.34 0.25 7745.0
2021-03-19 -318.84 -318.84 0.23 7748.0
2021-03-24 -318.96 -318.96 0.2 7753.0
2021-03-26 -318.49 -318.48 0.16 7755.0
2021-03-31 -318.04 -318.05 0.21 7760.0
2021-04-06 -318.45 -318.45 0.17 7766.0
2021-04-09 -319.19 -319.19 0.22 7769.0
2021-04-13 -319.03 -319.03 0.22 7773.0
2021-04-16 -318.16 -318.15 0.24 7776.0
2021-04-21 -318.03 -318.03 0.15 7781.0
2021-04-27 -317.25 -317.25 0.32 7787.0
2021-04-30 -318.16 -318.16 0.22 7790.0
2021-05-03 -318.12 -318.12 0.16 7793.0
2021-05-11 -318.53 -318.52 0.2 7801.0
2021-05-13 -317.82 -317.84 0.18 7803.0
2021-05-18 -318.29 -318.29 0.2 7808.0
2021-07-30 -356.2 -356.12 0.35 7881.0
2021-08-03 -356.66 -356.66 0.14 7885.0
2021-08-10 -356.8 -356.8 0.18 7892.0
2021-08-13 -356.27 -356.27 0.16 7895.0
2021-08-20 -355.34 -355.34 0.21 7902.0
2021-08-24 -357.2 -357.2 0.27 7906.0
2021-08-27 -354.54 -354.55 0.2 7909.0
2021-08-31 -356.73 -356.71 0.19 7913.0
2021-09-03 -356.44 -356.42 0.21 7916.0
2021-09-09 -356.24 -356.23 0.17 7922.0
2021-09-14 -356.67 -356.67 0.18 7927.0
2021-09-21 -357.44 -357.43 0.24 7934.0
2021-09-24 -356.87 -356.88 0.21 7937.0
2021-10-01 -356.07 -356.11 0.32 7944.0
2021-10-06 -356.5 -356.52 0.26 7949.0
2021-10-08 -356.12 -356.11 0.22 7951.0
2021-10-14 -355.44 -355.44 0.16 7957.0
2021-10-19 -356.13 -356.13 0.16 7962.0
2021-10-22 -355.86 -355.87 0.19 7965.0
2021-10-27 -355.18 -355.19 0.21 7970.0
2021-11-02 -355.93 -355.24 2.49 7976.0
2021-11-05 -354.33 -354.24 0.49 7979.0
2021-11-09 -355.07 -355.09 0.26 7983.0
2021-11-16 -354.97 -354.96 0.17 7990.0
2021-11-24 -355.88 -355.88 0.18 7998.0
2021-11-26 -355.03 -355.03 0.19 8000.0
2021-11-30 -354.98 -354.98 0.16 8004.0
2021-12-03 -354.8 -354.8 0.16 8007.0
2021-12-07 -354.42 -354.42 0.2 8011.0
2021-12-09 -353.35 -353.34 0.18 8013.0
2021-12-14 -354.16 -354.16 0.18 8018.0
2021-12-21 -354.36 -354.36 0.17 8025.0
2021-12-23 -354.8 -354.8 0.21 8027.0
2021-12-28 -354.5 -354.51 0.17 8032.0
2022-01-04 -353.89 -353.88 0.19 8039.0
2022-01-11 -354.23 -354.26 0.59 8046.0
2022-01-14 -354.49 -354.47 0.25 8049.0
2022-01-19 -354.01 -354.01 0.2 8054.0
2022-01-21 -356.58 -356.57 0.19 8056.0
2022-01-25 -354.01 -353.98 0.25 8060.0
2022-01-28 -355.05 -355.04 0.17 8063.0
2022-02-01 -355.51 -355.52 0.2 8067.0
2022-02-04 -352.44 -352.46 0.25 8070.0
2022-02-09 -355.66 -355.67 0.17 8075.0
2022-02-15 -354.12 -354.1 0.18 8081.0
2022-02-22 -351.88 -351.88 0.19 8088.0
2022-02-25 -352.96 -352.95 0.19 8091.0
2022-03-04 -353.95 -353.96 0.22 8098.0
2022-03-09 -352.82 -352.82 0.17 8103.0
2022-03-15 -353.13 -353.13 0.19 8109.0
2022-03-18 -353.4 -353.39 0.21 8112.0
2022-03-22 -354.1 -354.11 0.2 8116.0
2022-03-25 -353.74 -353.75 0.25 8119.0
2022-03-29 -353.59 -353.59 0.2 8123.0
2022-04-01 -353.27 -353.16 0.46 8126.0
2022-04-05 -353.12 -353.12 0.2 8130.0
2022-04-08 -354.5 -354.51 0.19 8133.0
2022-04-12 -353.25 -353.27 0.24 8137.0
2022-04-19 -352.28 -352.28 0.21 8144.0
2022-04-26 -353.03 -353.02 0.25 8151.0
2022-04-29 -352.04 -351.99 0.29 8154.0
2022-05-06 -353.06 -353.06 0.26 8161.0
2022-05-07 -350.98 -351.07 0.88 8162.0
2022-05-09 -353.9 -353.94 0.29 8164.0
2022-05-10 -353.3 -353.33 0.32 8165.0
2022-05-12 -353.33 -353.35 0.21 8167.0
2022-05-13 -353.24 -353.25 0.23 8168.0
2022-05-19 -353.0 -353.01 0.23 8174.0
2022-05-27 -352.96 -352.96 0.21 8182.0
2022-05-30 -351.15 -351.18 0.38 8185.0
2022-06-03 -351.4 -351.37 0.33 8189.0
2022-06-15 -351.48 -351.47 0.44 8201.0
2022-06-21 -351.37 -351.37 0.2 8207.0
2022-06-23 -350.94 -350.94 0.21 8209.0
2022-06-27 -350.67 -350.67 0.26 8213.0
2022-06-28 -352.39 -352.39 0.17 8214.0
2022-06-29 -362.5 -362.46 0.67 8215.0
2022-07-01 -368.47 -368.5 0.46 8217.0
2022-07-04 -335.25 -335.08 0.75 8220.0
2022-07-05 -363.67 -363.57 0.43 8221.0
2022-07-06 -343.4 -344.08 1.67 8222.0
2022-07-08 -336.41 -336.08 1.15 8224.0
2022-07-12 -334.28 -333.98 1.14 8228.0
2022-07-14 -343.76 -344.05 1.22 8230.0
2022-07-15 -339.5 -339.9 2.23 8231.0
2022-07-18 -359.73 -359.77 0.32 8234.0
2022-07-19 -339.94 -339.97 0.75 8235.0
2022-07-20 -338.59 -338.74 1.06 8236.0
