Date p1_mean p1_median p1_std
2020-01-01 -32.66 -32.66 0.13
2020-01-17 -32.69 -32.69 0.08
2020-01-18 -32.7 -32.7 0.08
2020-01-21 -33.1 -33.1 0.07
2020-01-22 -32.79 -32.79 0.07
2020-01-23 -32.67 -32.67 0.08
2020-01-25 -33.05 -33.02 0.13
2020-01-31 -32.9 -32.91 0.08
2020-02-01 -27.67 -27.67 0.08
2020-02-02 -32.64 -32.69 0.2
2020-02-03 -32.59 -32.6 0.09
2020-02-06 -32.81 -32.82 0.12
2020-02-10 -32.52 -32.5 0.1
2020-02-16 -32.98 -32.98 0.08
2020-02-18 -52.43 -32.54 844.56
2020-03-05 -268.49 -32.91 2483.18
2020-03-17 -33.05 -33.05 0.11
2020-03-18 -27.63 -27.63 0.06
2020-03-24 -32.37 -32.37 0.07
2020-03-25 -32.87 -32.87 0.06
2020-03-27 -28.97 -32.47 164.68
2020-03-28 -49.35 -27.55 759.55
2020-03-30 -32.64 -32.64 0.06
2020-04-02 -32.19 -32.19 0.06
2020-04-03 -33.02 -33.03 0.09
2020-04-09 -32.64 -32.64 0.06
2020-04-10 -6116.87 -31.54 11234.41
2020-04-11 -47.52 -32.28 634.2
2020-04-12 -32.06 -32.06 0.09
2020-04-13 -32.24 -32.25 0.08
2020-04-14 -31.58 -31.61 0.35
2020-04-15 -32.59 -32.6 0.1
2020-04-16 -32.67 -32.66 0.07
2020-04-18 -32.71 -32.72 0.11
2020-04-20 -32.57 -32.56 0.12
2020-04-21 -32.52 -32.51 0.12
2020-04-22 -29.83 -32.13 94.84
2020-04-23 -32.57 -32.58 0.12
2020-04-24 -349.15 -31.4 2879.05
2020-04-25 -32.69 -32.69 0.07
2020-04-26 -32.34 -32.34 0.08
2020-04-27 -32.3 -32.3 0.08
2020-04-28 -31.79 -31.79 0.1
2020-04-29 -32.11 -32.11 0.09
2020-04-30 -31.82 -31.82 0.09
2020-05-01 -32.32 -32.33 0.09
2020-05-02 -33.88 -32.36 55.55
2020-05-04 -32.52 -32.51 0.12
2020-05-05 -32.61 -32.61 0.12
2020-05-06 -32.45 -32.45 0.1
2020-05-08 -48.39 -31.97 658.91
2020-05-09 -31.84 -31.84 0.07
2020-05-10 -31.99 -32.0 0.08
2020-05-11 -32.49 -32.49 0.09
2020-05-12 -125.6 -32.07 1569.49
2020-05-13 -32.19 -32.19 0.07
2020-05-14 -32.67 -32.67 0.08
2020-05-15 -32.73 -32.74 0.07
2020-05-16 -33.04 -33.04 0.07
2020-05-17 -32.98 -32.98 0.08
2020-05-18 -32.52 -32.53 0.1
2020-05-19 -32.45 -32.45 0.12
2020-05-20 -32.03 -32.02 0.1
2020-05-22 -31.51 -31.51 0.08
2020-05-23 -31.94 -31.94 0.06
2020-05-24 -32.62 -32.61 0.08
2020-05-25 -32.65 -32.65 0.08
2020-05-26 -32.6 -32.6 0.09
2020-05-27 -32.42 -32.42 0.07
2020-05-28 -32.51 -32.52 0.07
2020-05-29 -32.64 -32.64 0.05
2020-05-30 -185.14 -32.32 3046.35
2020-05-31 -33.04 -33.04 0.08
2020-06-01 -53.48 -32.35 747.25
2020-06-02 -32.26 -32.26 0.1
2020-06-03 -31.73 -31.77 1.35
2020-06-04 -33.0 -33.0 0.07
2020-06-05 -31.96 -31.96 0.08
2020-06-06 -32.28 -32.27 0.05
2020-06-07 -63.55 -32.26 909.33
2020-06-08 -32.08 -32.08 0.1
2020-06-09 -32.73 -32.73 0.08
2020-06-12 -32.37 -32.38 0.09
2020-06-14 -34.53 -32.08 63.72
2020-06-15 -31.47 -32.36 31.65
2020-06-16 -32.41 -32.4 0.11
2020-06-17 -42.39 -32.38 201.91
2020-06-18 -32.94 -32.94 0.07
2020-06-19 -31.68 -31.68 0.13
2020-06-20 -31.08 -31.07 0.04
