Date p2_mean p2_median p2_std jd
2021-01-01 -26.78 -26.78 0.05 7671.0
2021-01-02 -26.7 -26.7 0.05 7672.0
2021-01-03 -26.65 -26.65 0.05 7673.0
2021-01-04 -26.63 -26.63 0.07 7674.0
2021-01-05 -26.68 -26.68 0.07 7675.0
2021-01-06 -26.65 -26.65 0.06 7676.0
2021-01-07 -26.54 -26.54 0.06 7677.0
2021-01-08 -26.52 -26.52 0.06 7678.0
2021-01-09 -26.55 -26.54 0.05 7679.0
2021-01-10 -26.56 -26.56 0.06 7680.0
2021-01-11 -26.62 -26.63 0.2 7681.0
2021-01-12 -26.59 -26.59 0.06 7682.0
2021-01-13 -26.54 -26.54 0.07 7683.0
2021-01-14 -26.53 -26.53 0.11 7684.0
2021-01-15 -26.54 -26.54 0.05 7685.0
2021-01-16 -26.54 -26.54 0.06 7686.0
2021-01-17 -26.52 -26.52 0.06 7687.0
2021-01-18 -26.52 -26.52 0.07 7688.0
2021-01-19 -26.52 -26.52 0.06 7689.0
2021-01-20 -26.53 -26.52 0.09 7690.0
2021-01-21 -26.54 -26.54 0.05 7691.0
2021-01-22 -26.5 -26.5 0.05 7692.0
2021-01-23 -26.51 -26.51 0.06 7693.0
2021-01-24 -26.5 -26.5 0.07 7694.0
2021-01-25 -26.47 -26.47 0.07 7695.0
2021-01-26 -26.53 -26.53 0.06 7696.0
2021-01-27 -26.49 -26.49 0.06 7697.0
2021-01-28 -26.49 -26.49 0.07 7698.0
2021-01-29 -26.44 -26.44 0.05 7699.0
2021-01-30 -26.44 -26.44 0.05 7700.0
2021-01-31 -26.47 -26.47 0.05 7701.0
2021-02-01 -26.45 -26.45 0.06 7702.0
2021-02-02 -26.5 -26.5 0.07 7703.0
2021-02-03 -26.56 -26.56 0.08 7704.0
2021-02-04 -26.51 -26.51 0.06 7705.0
2021-02-05 -26.47 -26.47 0.05 7706.0
2021-02-06 -26.59 -26.58 0.09 7707.0
2021-02-07 -26.57 -26.57 0.1 7708.0
2021-02-08 -26.59 -26.59 0.07 7709.0
2021-02-09 -26.6 -26.6 0.06 7710.0
2021-02-10 -26.56 -26.56 0.06 7711.0
2021-02-11 -26.57 -26.57 0.06 7712.0
2021-02-12 -26.56 -26.56 0.05 7713.0
2021-02-13 -26.52 -26.52 0.08 7714.0
2021-02-14 -26.54 -26.55 0.06 7715.0
