Date p1_mean p1_median p1_std jd
2020-01-03 -91.27 -91.28 0.2 7307
2020-01-07 -91.71 -91.71 0.25 7311
2020-01-10 -92.48 -92.48 0.22 7314
2020-01-14 -91.36 -91.37 0.23 7318
2020-01-21 -91.46 -91.44 0.21 7325
2020-01-22 -91.3 -91.31 0.23 7326
2020-01-24 -91.29 -91.28 0.21 7328
2020-01-28 -91.37 -91.37 0.25 7332
2020-01-29 -91.43 -91.43 0.24 7333
2020-01-31 -91.48 -91.48 0.24 7335
2020-02-04 -91.44 -91.43 0.23 7339
2020-02-07 -91.15 -91.15 0.26 7342
2020-02-14 -91.39 -91.37 0.25 7349
2020-02-18 -91.01 -91.01 0.31 7353
2020-02-21 -91.33 -91.32 0.23 7356
2020-02-28 -91.42 -91.42 0.22 7363
2020-03-02 -91.19 -91.19 0.23 7366
2020-03-03 -91.2 -91.2 0.28 7367
2020-03-04 -91.25 -91.26 0.24 7368
2020-03-10 -91.19 -91.18 0.24 7374
2020-03-13 -91.29 -91.29 0.23 7377
2020-03-17 -91.35 -91.35 0.19 7381
2020-03-20 -91.92 -91.92 0.2 7384
2020-03-25 -91.44 -91.45 0.19 7389
2020-04-01 -91.38 -91.38 0.17 7396
2020-04-15 -91.37 -91.37 0.16 7410
2020-04-20 -91.56 -91.55 0.16 7415
2020-04-21 -91.57 -91.56 0.16 7416
2020-04-22 -91.38 -91.38 0.17 7417
2020-04-29 -91.96 -91.95 0.17 7424
2020-05-06 -91.55 -91.54 0.18 7431
2020-05-13 -92.1 -92.1 0.17 7438
2020-05-20 -91.71 -91.71 0.18 7445
2020-05-27 -91.48 -91.48 0.17 7452
2020-06-03 -92.83 -92.84 0.18 7459
2020-06-10 -92.85 -92.91 0.32 7466
2020-06-17 -93.08 -93.08 0.23 7473
2020-06-23 -93.02 -93.01 0.23 7479
2020-06-24 -92.93 -92.93 0.26 7480
2020-06-26 -93.09 -93.08 0.21 7482
2020-06-30 -93.06 -93.07 0.2 7486
2020-07-03 -92.95 -92.95 0.19 7489
2020-07-07 -92.96 -92.97 0.21 7493
2020-07-10 -92.98 -92.99 0.21 7496
2020-07-15 -92.95 -92.96 0.2 7501
2020-07-21 -92.94 -92.94 0.22 7507
2020-07-24 -93.01 -92.99 0.22 7510
2020-07-28 -92.99 -93.0 0.16 7514
2020-07-31 -92.84 -92.84 0.21 7517
2020-08-04 -93.15 -93.15 0.24 7521
2020-08-11 -93.12 -93.12 0.21 7528
2020-08-19 -93.27 -93.26 0.21 7536
2020-08-25 -92.9 -92.89 0.2 7542
2020-08-28 -92.57 -92.57 0.23 7545
2020-09-04 -92.71 -92.72 0.21 7552
2020-09-09 -92.94 -92.94 0.2 7557
2020-09-11 -92.86 -92.87 0.21 7559
2020-09-14 -93.01 -93.0 0.17 7562
2020-09-15 -92.99 -93.0 0.22 7563
2020-09-18 -92.96 -92.95 0.21 7566
2020-09-23 -92.92 -92.91 0.81 7571
2020-09-30 -92.68 -92.67 0.22 7578
2020-10-07 -92.8 -92.8 0.22 7585
2020-10-14 -92.84 -92.84 0.21 7592
2020-10-20 -93.33 -93.34 0.23 7598
2020-10-27 -94.17 -94.18 0.23 7605
2020-11-04 -93.91 -93.91 0.22 7613
2020-11-06 -94.04 -94.05 0.21 7615
2020-11-10 -94.01 -94.01 0.21 7619
2020-11-13 -94.09 -94.09 0.23 7622
2020-11-17 -93.7 -93.7 0.22 7626
2020-11-24 -93.56 -93.56 0.24 7633
2020-11-27 -94.25 -94.26 0.2 7636
2020-12-01 -94.04 -94.04 0.21 7640
2020-12-04 -93.81 -93.81 0.22 7643
2020-12-09 -93.94 -93.95 0.2 7648
2020-12-15 -94.24 -94.25 0.21 7654
2020-12-17 -94.16 -94.16 0.18 7656
2020-12-22 -94.14 -94.13 0.19 7661
2020-12-29 -93.06 -93.05 0.25 7668
