coef	Shift-Time	Date
1.0	4:44:57	20210401
1.0	4:44:51	20210402
0.99999	4:44:47	20210403
1.0	4:44:38	20210404
0.99997	4:44:32	20210405
0.99996	4:44:26	20210406
0.99996	4:44:19	20210407
1.0	4:44:13	20210408
1.0	4:44:07	20210409
0.99999	4:44:01	20210410
1.0	4:43:51	20210411
0.99946	4:43:48	20210412
0.99999	4:43:41	20210413
1.0	4:43:34	20210414
0.99931	4:43:29	20210415
0.99999	4:43:22	20210416
1.0	4:43:15	20210417
0.98201	4:43:09	20210418
0.99999	4:43:03	20210419
1.0	4:42:57	20210420
0.99992	4:42:51	20210421
0.99999	4:42:45	20210422
1.0	4:42:38	20210423
0.99998	4:42:32	20210424
0.99999	4:42:27	20210425
0.99999	4:42:21	20210426
0.99998	4:42:15	20210427
0.99999	4:42:09	20210428
0.99996	4:42:02	20210429
0.9915	4:41:55	20210430
0.99999	4:41:47	20210501
1.00000	4:41:40	20210502
1.00000	4:41:34	20210503
0.99999	4:41:27	20210504
0.99999	4:41:21	20210505
1.00000	4:41:15	20210506
0.99996	4:41:19	20210507
0.99947	4:41:06	20210508
0.97017	4:41:05	20210509
0.99584	4:40:48	20210510
0.99194	4:40:39	20210512
0.99971	4:40:28	20210513
0.99690	4:40:25	20210514
0.99325	4:40:14	20210515
